"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","1,544 K"
"Secure System","56","Services","0","22,728 K"
"Registry","104","Services","0","45,684 K"
"smss.exe","488","Services","0","796 K"
"csrss.exe","704","Services","0","1,736 K"
"wininit.exe","812","Services","0","1,308 K"
"csrss.exe","824","Console","1","3,600 K"
"services.exe","884","Services","0","8,756 K"
"LsaIso.exe","896","Services","0","1,156 K"
"lsass.exe","912","Services","0","20,408 K"
"svchost.exe","76","Services","0","1,344 K"
"svchost.exe","508","Services","0","39,008 K"
"fontdrvhost.exe","552","Services","0","1,184 K"
"WUDFHost.exe","976","Services","0","5,088 K"
"svchost.exe","1088","Services","0","22,188 K"
"svchost.exe","1136","Services","0","4,304 K"
"WUDFHost.exe","1184","Services","0","3,516 K"
"winlogon.exe","1276","Console","1","4,092 K"
"fontdrvhost.exe","1332","Console","1","5,912 K"
"dwm.exe","1420","Console","1","75,996 K"
"svchost.exe","1508","Services","0","6,768 K"
"svchost.exe","1516","Services","0","2,124 K"
"svchost.exe","1636","Services","0","9,776 K"
"svchost.exe","1672","Services","0","1,420 K"
"svchost.exe","1736","Services","0","6,016 K"
"svchost.exe","1748","Services","0","5,068 K"
"svchost.exe","1784","Services","0","6,740 K"
"svchost.exe","1808","Services","0","8,240 K"
"svchost.exe","1948","Services","0","4,728 K"
"svchost.exe","1968","Services","0","2,208 K"
"svchost.exe","1988","Services","0","2,916 K"
"svchost.exe","808","Services","0","1,828 K"
"svchost.exe","1372","Services","0","1,688 K"
"svchost.exe","2080","Services","0","2,108 K"
"svchost.exe","2120","Services","0","11,616 K"
"svchost.exe","2136","Services","0","4,416 K"
"svchost.exe","2176","Services","0","3,712 K"
"svchost.exe","2256","Services","0","2,228 K"
"svchost.exe","2344","Services","0","6,068 K"
"svchost.exe","2464","Services","0","6,360 K"
"svchost.exe","2584","Services","0","10,844 K"
"svchost.exe","2612","Services","0","5,648 K"
"svchost.exe","2628","Services","0","8,904 K"
"NVDisplay.Container.exe","2784","Services","0","3,720 K"
"svchost.exe","2844","Services","0","2,936 K"
"svchost.exe","2936","Services","0","4,228 K"
"svchost.exe","2944","Services","0","6,092 K"
"svchost.exe","2972","Services","0","1,976 K"
"NVDisplay.Container.exe","3052","Console","1","8,700 K"
"svchost.exe","696","Services","0","6,464 K"
"svchost.exe","3076","Services","0","6,264 K"
"Memory Compression","3100","Services","0","204,188 K"
"svchost.exe","3124","Services","0","4,960 K"
