"Image Name","PID","Session Name","Session#","Mem Usage"
"System Idle Process","0","Services","0","8 K"
"System","4","Services","0","3,784 K"
"Secure System","88","Services","0","75,340 K"
"Registry","152","Services","0","63,120 K"
"smss.exe","624","Services","0","1,004 K"
"csrss.exe","900","Services","0","2,336 K"
"wininit.exe","104","Services","0","3,592 K"
"services.exe","976","Services","0","13,256 K"
"LsaIso.exe","904","Services","0","5,104 K"
"lsass.exe","1028","Services","0","26,960 K"
"svchost.exe","1256","Services","0","2,776 K"
"svchost.exe","1288","Services","0","40,160 K"
"WUDFHost.exe","1312","Services","0","3,052 K"
"fontdrvhost.exe","1356","Services","0","1,960 K"
"svchost.exe","1448","Services","0","17,508 K"
"svchost.exe","1488","Services","0","7,012 K"
"svchost.exe","1584","Services","0","12,300 K"
"svchost.exe","1664","Services","0","6,232 K"
"svchost.exe","1812","Services","0","4,108 K"
"svchost.exe","1804","Services","0","12,560 K"
"svchost.exe","1828","Services","0","6,068 K"
"svchost.exe","1856","Services","0","4,760 K"
"svchost.exe","1864","Services","0","5,128 K"
"svchost.exe","2032","Services","0","4,524 K"
"svchost.exe","2040","Services","0","5,352 K"
"svchost.exe","1048","Services","0","6,148 K"
"svchost.exe","1436","Services","0","6,516 K"
"svchost.exe","2072","Services","0","3,476 K"
"svchost.exe","2276","Services","0","40,892 K"
"svchost.exe","2312","Services","0","18,056 K"
"WUDFHost.exe","2324","Services","0","3,104 K"
"svchost.exe","2448","Services","0","9,016 K"
"NVDisplay.Container.exe","2476","Services","0","6,688 K"
"nvwmi64.exe","2488","Services","0","3,788 K"
"svchost.exe","2584","Services","0","5,032 K"
"svchost.exe","2648","Services","0","8,296 K"
"svchost.exe","2700","Services","0","5,120 K"
"svchost.exe","2744","Services","0","38,624 K"
"atiesrxx.exe","2812","Services","0","3,500 K"
"svchost.exe","2948","Services","0","10,592 K"
"svchost.exe","3040","Services","0","8,712 K"
"svchost.exe","3068","Services","0","3,216 K"
"svchost.exe","2000","Services","0","10,844 K"
"svchost.exe","2560","Services","0","5,332 K"
"svchost.exe","3252","Services","0","5,272 K"
"svchost.exe","3380","Services","0","5,460 K"
"svchost.exe","3424","Services","0","7,120 K"
"svchost.exe","3492","Services","0","6,940 K"
"svchost.exe","3656","Services","0","6,972 K"
"svchost.exe","3668","Services","0","6,392 K"
"svchost.exe","3664","Services","0","3,708 K"
"svchost.exe","3680","Services","0","6,284 K"
"svchost.exe","3828","Services","0","4,728 K"
"svchost.exe","3836","Services","0","5,768 K"
"Memory Compression","3884","Services","0","2,538,880 K"
"svchost.exe","2260","Services","0","10,876 K"
"RtkAudioService64.exe","4108","Services","0","3,560 K"
"svchost.exe","4132","Services","0","13,612 K"
"svchost.exe","4180","Services","0","4,940 K"
"svchost.exe","4240","Services","0","3,980 K"
"svchost.exe","4248","Services","0","5,576 K"
"svchost.exe","4284","Services","0","4,424 K"
"svchost.exe","4376","Services","0","4,904 K"
"svchost.exe","4416","Services","0","4,256 K"
"svchost.exe","4500","Services","0","7,296 K"
"svchost.exe","4556","Services","0","8,560 K"
"spoolsv.exe","4604","Services","0","7,316 K"
"svchost.exe","4772","Services","0","4,656 K"
